【车辆氢费明细·2026年1-6月·按站点】
环境,测试环境 dev-oneos.lnh2e.com
期间,2026-01 ~ 2026-06
加氢车次合计,41534
加氢总量kg,578983.151
加氢总价元,5934728.87
平均加氢单价元每kg,10.25
已核对,0
未核对,41534
站点数,61

【按月车次】
月,车次
1,5955
2,3922
3,7067
4,8532
5,8732
6,7326

【各站点明细】
加氢站名称,站点编码,加氢车次,加氢总量kg,加氢总价元,平均加氢单价元每kg,已核对,未核对
嘉兴嘉锦亭桥北综合供能服务站,HS000002,10963,158324.56,1043885.7,6.59,0,10963
嘉兴滨海大道加油加气站,HS000076,8113,205177,497978.12,2.43,0,8113
中国石化绿能加气加氢站,HS000032,2648,20198.38,194884.55,9.65,0,2648
嘉兴嘉燃经开站,HS000023,2581,23564.91,452755.45,19.21,0,2581
常熟嘉化氢能加氢站,HS000072,2066,14792.38,198477.04,13.42,0,2066
中国石化站前路加气加氢站,HS000070,1900,11074.18,182381.04,16.47,0,1900
昆山市中国石油昆山花桥加油站(花安路北50米),HS000010,1748,17503.95,279110.7,15.95,0,1748
豪汇综合能源站,HS000052,1159,7460.9,210654.48,28.23,0,1159
广州联新氢能东晖加氢站,HS000044,1130,8441.96,127328,15.08,0,1130
乌鲁木齐市隆盛达环保科技有限公司沙坪加油加气加氢充电站,HS000022,1062,7260.31,168807.68,23.25,0,1062
佛山南海羚牛加氢站,HS000045,834,5501.1,7065.24,1.28,0,834
佛山佛西加气站,HS000061,755,4840.727,165849.21,34.26,0,755
氢源嘉创东方氢港加氢站,HS000053,574,10236.3,67380.9,6.58,0,574
东明三路综合能源站,HS000049,562,4485.986,56470.88,12.59,0,562
诚志空气产品银河路加氢站,HS000085,548,3646.274,141443.7,38.79,0,548
成都天府机场高速北站,HS000007,519,15945.89,476807.35,29.9,0,519
成都华通加氢站,HS000060,493,12093.51,362619.6,29.98,0,493
韶钢产业园加氢站,HS000075,431,3233.02,92078.05,28.48,0,431
中国石化广州开泰北加油加氢站,HS000064,391,2770.346,99454.38,35.9,0,391
成都天府机场高速南站,HS000008,382,9422.825,281407.42,29.86,0,382
硕放加氢站,HS000058,291,2750.07,88743.85,32.27,0,291
中国石化江南半山环道加能站,HS000014,251,2840.45,70406.75,24.79,0,251
强劲荔村加氢站,HS000051,197,1625.88,26880.8,16.53,0,197
武汉革新大道加油站,HS000050,169,3037.58,74332.75,24.47,0,169
重庆双溪加氢站,HS000003,137,1991.06,49776.5,25,0,137
神华加氢站,HS000036,132,877.689,7698.63,8.77,0,132
中国石化广州金坑加氢站,HS000065,130,812.721,28309.73,34.83,0,130
国家电投宁波慈溪加氢站,HS000084,119,866.658,0,0,0,119
成都博能燃气综合能源站,HS000020,113,2973.88,85787.02,28.85,0,113
丹灶海德利森加氢站,HS000035,113,893.51,33953.38,38,0,113
上海浦江加氢站,HS000068,99,913.73,31387.3,34.35,0,99
中国石化江南西彭综合能源站,HS000006,97,1565.63,36663,23.42,0,97
重庆元琨双宝氢能综合能源站,HS000046,84,1281.78,32044.5,25,0,84
中国石化樟坑加油加氢站,HS000055,76,445.05,16619.86,37.34,0,76
绕城大道加气加氢加油站,HS000056,74,792.53,17188.47,21.69,0,74
广安弘正能源官盛综合能源站,HS000001,66,2147.84,64435.2,30,0,66
武汉中石化双龙站,HS000015,61,970.09,23289.75,24.01,0,61
东莞沙田大道综合能源服务站,HS000098,57,585.97,23908.7,40.8,0,57
重庆龙洲湾氢能综合能源站,HS000019,56,1004.19,25104.75,25,0,56
重庆丝路加氢站,HS000016,46,754.62,18865.5,25,0,46
江南空港加气站,HS000013,43,633.3,14979.75,23.65,0,43
宁波镇海区中国石化加氢站,HS000057,43,260.18,0,0,0,43
东鹏大道甲醇制氢一体站,HS000116,35,220.32,2876.76,13.06,0,35
中国石化滨文路CNG加气站,HS000054,29,157.138,1187.46,7.56,0,29
九江城区城西港加油站,HS000107,29,599.53,0,0,0,29
武汉雄众加氢站,HS000105,26,467.66,2230,4.77,0,26
上海临港平霄路油氢合建站,HS000021,17,128.55,3303.85,25.7,0,17
武汉群力加油站,HS000106,16,259.5,6487.5,25,0,16
中石化西上海发展站加油站,HS000069,14,246.478,14295.72,58,0,14
中石化青卫油氢混合站,HS000078,11,136.04,7890.32,58,0,11
皖能集团龙塘综合能源港(CNG、H2、充换电),HS000103,9,157.33,3933.25,25,0,9
湖北楚天石化能源发展有限公司枝江西服务区（南站）加氢站,HS000115,7,129.57,4534.95,35,0,7
江苏嘉化氢能港城加氢站,HS000077,5,44.02,0,0,0,5
高管汉宜潜江服务北站,HS000011,4,51.76,1811.6,35,0,4
涪陵长寿化中大道加能站,HS000012,4,54.12,1081.25,19.98,0,4
南京溧水柘塘东站,HS000017,4,53.57,2584.8,48.25,0,4
四川成渝新能建设有限公司渝蓉高速简阳服务区（重成向）氢能源分公司,HS000110,4,135.969,3399.23,25,0,4
永川高升加氢站,HS000009,3,90.32,1717.5,19.02,0,3
上海嘉氢实业加氢站（江桥重塑）,HS000066,2,24.89,0,0,0,2
大兴国际氢能示范区海珀尔加氢站,HS000040,1,20.31,0,0,0,1
中国石化重庆石油分公司茶园加油加氢站,HS000111,1,7.16,179,25,0,1
