客户名称,应收,实收,未收,总成本,盈亏,明细行数
南京威路物流有限公司,1621500,1320000,301500,1639368.5,-17868.5,557
沈阳聚德物流有限公司,846900,689700,157200,803400,43500,256
西安御盛合供应链管理有限公司,442266.34,442266.34,0,469560,-27293.66,126
广州市博众供应链管理有限公司,335870.85,146253.33,189617.52,341894.3,-6023.45,100
天津华兴捷运物流有限公司,328000,364000,-36000,283847.7,44152.3,89
上海昂久国际物流有限公司,297407.65,304843.26,-7435.61,183145,114262.65,18
陕西裕新物流有限公司,260000,220000,40000,216964.8,43035.2,65
四川群彬物流有限公司,225116.67,179833.45,45283.22,172152,52964.67,30
深圳市明浩货运代理有限公司,199558.33,199558.33,0,295920,-96361.66,74
武汉吉辰速运配送有限公司,186450,121007.51,65442.49,165728,20722,45
广州新运多租赁有限公司,175083.33,93950,81133.33,215150.27,-40066.94,71
德州市永顺运输有限公司,144783.99,144783.99,0,121658.5,23125.49,18
武汉洛安供应链有限公司,138569.79,0,138569.79,154950,-16380.21,56
广州长运冷链服务有限公司,135000,135000,0,150795.36,-15795.36,45
荣达餐饮(广东)集团有限公司,130339,125989,4350,137044,-6705,48
重庆正合印务有限公司,124573.94,124573.94,0,115500,9073.94,21
武汉至上云合供应链管理有限公司,124300,85800,38500,98940,25360,32
重庆金时源供应链有限公司,108167,95939.15,12227.85,127200,-19033,36
上海大金物流有限公司,103600,103600,0,103600,0,28
嘉兴市京宝物流有限公司,96000,92000,4000,94800,1200,24
上海利合供应链管理有限公司-科诗美丝,84280,84280,0,84000,280,28
成都诺和物流有限公司,82420.43,87575.77,-5155.34,79782.7,2637.73,13
广州市范来餐饮管理有限公司,82320,77700,4620,80082,2238,28
广州埔供优选配送服务有限公司,80850,80850,0,80430,420,24
四川邦达蜀运供应链管理有限公司,78354.57,78322.5,32.07,68000,10354.57,21
日邮物流(中国)有限公司,77633.33,52000,25633.33,68359,9274.33,17
四川拱照物流有限公司,75683.67,86078,-10394.33,63900,11783.67,10
上海冉酷物流有限公司,73950,75950,-2000,43202.7,30747.3,7
广州市多顺储运有限公司,71466.67,71466.67,0,62021.75,9444.92,26
上海畅霸实业有限公司,58866,50866,8000,82532,-23666,25
东莞沙田炽瑞物流有限公司,58500,58500,0,152280,-93780,120
成都易达创想物流科技有限责任公司,52133.33,52133.33,0,37404.6,14728.73,7
安徽巨海国际物流有限公司,49066.67,40000,9066.67,38024.6,11042.07,14
广州佳晟餐饮服务有限公司,47880,45360,2520,44077.68,3802.32,14
日邮物流（中国）有限公司苏州分公司,42000,36000,6000,42000,0,14
广州玉川物流有限公司,39600,29700,9900,23497.5,16102.5,21
武汉市昱颂物流有限公司,39466.67,23466.67,16000,30295.7,9170.97,6
广州市德利新隆生鲜食品有限公司,38756.67,38756.67,0,38556.61,200.06,12
贵州省兴氢时代新能源科技有限公司,38440,18600,19840,30996.9,7443.1,5
新疆佳淇信息科技有限公司,32000,24000,8000,12000,20000,4
四川富庆物流有限公司,30588,34901.39,-4313.39,23664.3,6923.7,4
广州星达供应链管理有限公司,24776.67,24776.67,0,17441.61,7335.06,18
广州市福禧农业发展有限公司,24500,24500,0,14000,10500,7
广州市畅远供应链管理有限公司广州分公司,23100,21175,1925,21065,2035,6
广东云通供应链有限公司,20500,15000,5500,17968,2532,5
阿坝州川达物流有限公司,20167,20167,0,22700,-2533,6
上海心坦物流有限公司,20166.67,23666.67,-3500,21068,-901.33,6
苏州睿幄物流有限公司,16500,16500,0,18000,-1500,6
嘉兴智奇供应链管理有限公司,16000,16000,0,16000,0,4
四川国腾供应链管理有限公司,15940,15940,0,13300,2640,2
广东氢沣科技有限公司,13126.67,13126.67,0,13150.5,-23.83,13
绿电运输蕲春有限公司,12000,0,12000,3784.3,8215.7,1
新疆中铁瑞云冷链科技有限公司,12000,12000,0,12000,0,4
上海子初供应链管理有限公司,11400,11400,0,9000,2400,3
嘉兴益顺冷链物流有限公司,10000,10000,0,15000,-5000,5
佛山市昌盛骏业供应链管理有限公司,9600,9600,0,10200,-600,6
广州市黄埔区小胖兄弟蔬果配送 中心 （个体工商户）,9000,9000,0,10500,-1500,7
黑龙江圣合商贸有限公司新疆分公司,8500,8500,0,3000,5500,1
广州市晨康贸易发展有限公司,8283.33,4783.33,3500,6999,1284.33,3
上海迅杰物流有限公司,8000,8000,0,1169,6831,1
嘉兴琳曜供应链管理有限公司,8000,8000,0,8000,0,2
沈阳春风物流有限公司,8000,8000,0,16000,-8000,10
嘉兴市飞宇物流有限公司,7800,0,7800,3000,4800,2
嘉兴市振鑫物流有限公司,6000,4000,2000,6000,0,2
苏州望亭远方物流有限公司,6000,6000,0,6000,0,1
桐乡市丰韵快递有限责任公司,6000,6000,0,7000,-1000,2
上海哲准供应链管理有限公司,5066.67,5066.67,0,3927.7,1138.97,2
上海馨想事辰供应链有限公司,4680,4680,0,4030,650,2
扬州力骏物流有限公司,4000,4000,0,3000,1000,2
嘉兴市鑫峤供应链科技有限公司,4000,4000,0,3000,1000,1
嘉兴坤鑫物流有限公司,4000,4000,0,3000,1000,1
嘉兴吉时物流有限公司,4000,4000,0,3000,1000,1
广州壹心膳食管理有限公司,3357,3357,0,3795.55,-438.55,2
广东新正东能源有限公司,2450,2450,0,2799,-349,2
上海岚通国际物流有限公司,2000,2000,0,1500,500,1
杭州冠泽物流有限公司,2000,2000,0,1500,500,1
广州仁昌物流仓储有限公司,1293,775.8,517.2,999,294,2
上海浦江特种气体有限公司,0,0,0,9000,-9000,6
成都玉池物流有限公司,0,0,0,6411.3,-6411.3,2
住商国际物流有限公司无锡分公司,0,0,0,4000,-4000,1
深圳市兴峰物流有限公司,0,0,0,8532,-8532,3
