【按品牌汇总】
品牌,车型数,车辆数
现代,3,514
苏龙,1,197
飞驰,2,194
宇通,1,49
跃进,1,36
楚风,2,13
通华,1,7
其他,2,3
明威,1,2
舒捷,1,2
腾势,1,2
东风,1,1
红岩,1,1
鲁郸万通牌,1,1
万风,1,1
远程牌,1,1

【按品牌×车型】
品牌,车型,车辆数,在停车场,已交客户/不在停车场
现代,帕力安牌4.5吨冷链车,326,123,203
苏龙,海格牌18吨双飞翼货车,197,66,131
飞驰,49吨牵引车头,166,67,99
现代,帕力安牌18吨双飞翼货车,102,11,91
现代,4.5吨货车,86,41,45
宇通,49吨牵引车头,49,29,20
跃进,4.5吨冷链车,36,35,1
飞驰,18吨厢式货车,28,15,13
楚风,18吨厢式货车,10,8,2
通华,重型集装箱半挂车,7,0,7
楚风,49吨牵引车头,3,0,3
明威,重型集装箱半挂车,2,2,0
其他,公务用车/小客车,2,0,2
舒捷,SJ型蓄电池观光车,2,0,2
腾势,公务用车/小客车,2,0,2
东风,挂靠油车,1,1,0
红岩,35吨牵引车头,1,0,1
鲁郸万通牌,重型集装箱半挂车,1,0,1
其他,氢能叉车,1,1,0
万风,重型平板半挂车,1,1,0
远程牌,公务用车/小客车,1,0,1

【按停车场】
停车场,车辆数
（已交客户/不在停车场）,624
平湖停车场,175
嘉兴公司楼下氢能展厅,65
广州开创大道停车场,55
开创大道云埔宏仁便民停车场,26
独山港停车场,18
汇通检测站停车场,10
龙王路停车场,10
北京一汽宏特停车场,8
乌鲁木齐隆盛达停车场,6
佛山汽车运输集团公交分公司塱沙充电站,4
温州乐清客户停车场,4
欧亚停车场,3
成都宇通服务站停车场,3
韶关宝氢科技停车场,2
广州现代停车场,2
中铁黑豹停车场,1
佛山盛图服务站,1
嘉兴华昱维修站停车场,1
韶关铁运作业区东南86米停车场,1
北京一汽宏特修理厂停车场,1
飞驰停车场,1
佛山盛图新能源服务站,1
乍浦码头停车场,1
嘉兴秀洲加氢站停车场,1

【品牌×车型×停车场明细】
品牌,车型,停车场,车辆数
楚风,18吨厢式货车,北京一汽宏特停车场,8
楚风,18吨厢式货车,（已交客户/不在停车场）,2
楚风,49吨牵引车头,（已交客户/不在停车场）,3
东风,挂靠油车,北京一汽宏特修理厂停车场,1
飞驰,18吨厢式货车,（已交客户/不在停车场）,13
飞驰,18吨厢式货车,平湖停车场,11
飞驰,18吨厢式货车,汇通检测站停车场,2
飞驰,18吨厢式货车,嘉兴华昱维修站停车场,1
飞驰,18吨厢式货车,欧亚停车场,1
飞驰,49吨牵引车头,（已交客户/不在停车场）,99
飞驰,49吨牵引车头,独山港停车场,18
飞驰,49吨牵引车头,嘉兴公司楼下氢能展厅,17
飞驰,49吨牵引车头,平湖停车场,16
飞驰,49吨牵引车头,龙王路停车场,7
飞驰,49吨牵引车头,汇通检测站停车场,4
飞驰,49吨牵引车头,温州乐清客户停车场,4
飞驰,49吨牵引车头,乍浦码头停车场,1
红岩,35吨牵引车头,（已交客户/不在停车场）,1
鲁郸万通牌,重型集装箱半挂车,（已交客户/不在停车场）,1
明威,重型集装箱半挂车,龙王路停车场,1
明威,重型集装箱半挂车,嘉兴公司楼下氢能展厅,1
其他,公务用车/小客车,（已交客户/不在停车场）,2
其他,氢能叉车,嘉兴公司楼下氢能展厅,1
舒捷,SJ型蓄电池观光车,（已交客户/不在停车场）,2
苏龙,海格牌18吨双飞翼货车,（已交客户/不在停车场）,131
苏龙,海格牌18吨双飞翼货车,平湖停车场,62
苏龙,海格牌18吨双飞翼货车,嘉兴公司楼下氢能展厅,3
苏龙,海格牌18吨双飞翼货车,飞驰停车场,1
腾势,公务用车/小客车,（已交客户/不在停车场）,2
通华,重型集装箱半挂车,（已交客户/不在停车场）,7
万风,重型平板半挂车,汇通检测站停车场,1
现代,4.5吨货车,（已交客户/不在停车场）,45
现代,4.5吨货车,开创大道云埔宏仁便民停车场,17
现代,4.5吨货车,广州开创大道停车场,11
现代,4.5吨货车,嘉兴公司楼下氢能展厅,7
现代,4.5吨货车,平湖停车场,6
现代,帕力安牌18吨双飞翼货车,（已交客户/不在停车场）,91
现代,帕力安牌18吨双飞翼货车,嘉兴公司楼下氢能展厅,5
现代,帕力安牌18吨双飞翼货车,平湖停车场,4
现代,帕力安牌18吨双飞翼货车,开创大道云埔宏仁便民停车场,2
现代,帕力安牌4.5吨冷链车,（已交客户/不在停车场）,203
现代,帕力安牌4.5吨冷链车,广州开创大道停车场,44
现代,帕力安牌4.5吨冷链车,平湖停车场,34
现代,帕力安牌4.5吨冷链车,嘉兴公司楼下氢能展厅,24
现代,帕力安牌4.5吨冷链车,开创大道云埔宏仁便民停车场,7
现代,帕力安牌4.5吨冷链车,佛山汽车运输集团公交分公司塱沙充电站,4
现代,帕力安牌4.5吨冷链车,乌鲁木齐隆盛达停车场,3
现代,帕力安牌4.5吨冷链车,广州现代停车场,2
现代,帕力安牌4.5吨冷链车,中铁黑豹停车场,1
现代,帕力安牌4.5吨冷链车,欧亚停车场,1
现代,帕力安牌4.5吨冷链车,佛山盛图服务站,1
现代,帕力安牌4.5吨冷链车,佛山盛图新能源服务站,1
现代,帕力安牌4.5吨冷链车,嘉兴秀洲加氢站停车场,1
宇通,49吨牵引车头,（已交客户/不在停车场）,20
宇通,49吨牵引车头,平湖停车场,14
宇通,49吨牵引车头,嘉兴公司楼下氢能展厅,5
宇通,49吨牵引车头,成都宇通服务站停车场,3
宇通,49吨牵引车头,汇通检测站停车场,2
宇通,49吨牵引车头,乌鲁木齐隆盛达停车场,2
