指标,数量
近3个月需要年审(待办),149
其中已逾期,20
已年审(已完成),141
完成比例%,48.62
计算公式,141 / (141+149) = 48.62%

【待办按检验到期月】
月份,车辆数
2026-03,2
2026-04,1
2026-05,2
2026-06,15
2026-07,79
2026-08,8
2026-09,42

【已完成按办理时间月】
月份,车辆数
2026-06,110
2026-07,31

【待办明细】
车牌号,品牌,型号,运营状态,检验到期日,剩余天数,区域,状态
浙F00280F,飞驰,49吨牵引车头,库存,2026-03-31,-115,浙江省-嘉兴市,待办
浙F02002F,飞驰,49吨牵引车头,库存,2026-03-31,-115,浙江省-嘉兴市,待办
浙F03258F,飞驰,49吨牵引车头,库存,2026-04-30,-85,广东省-韶关市,待办
浙F02908F,飞驰,18吨厢式货车,租赁,2026-05-31,-54,浙江省-嘉兴市,待办
浙F07918F,飞驰,18吨厢式货车,库存,2026-05-31,-54,浙江省-嘉兴市,待办
粤AGP4396,现代,帕力安牌4.5吨冷链车,租赁,2026-06-30,-24,重庆市-渝北区,待办
粤AGP9739,现代,帕力安牌4.5吨冷链车,库存,2026-06-30,-24,重庆市-九龙坡区,待办
粤AGP3097,现代,帕力安牌4.5吨冷链车,租赁,2026-06-30,-24,重庆市-巴南区,待办
粤AGP9827,现代,帕力安牌4.5吨冷链车,库存,2026-06-30,-24,重庆市-渝北区,待办
浙F36000F,飞驰,49吨牵引车头,租赁,2026-06-30,-24,浙江省-嘉兴市,待办
浙F02228F,飞驰,49吨牵引车头,租赁,2026-06-30,-24,浙江省-嘉兴市,待办
浙F00900F,飞驰,49吨牵引车头,租赁,2026-06-30,-24,浙江省-嘉兴市,待办
浙F00688F,飞驰,49吨牵引车头,租赁,2026-06-30,-24,浙江省-嘉兴市,待办
粤AGP3087,现代,帕力安牌4.5吨冷链车,租赁,2026-06-30,-24,重庆市-渝北区,待办
浙F39885F,飞驰,49吨牵引车头,租赁,2026-06-30,-24,浙江省-嘉兴市,待办
浙F32111F,飞驰,49吨牵引车头,租赁,2026-06-30,-24,浙江省-嘉兴市,待办
