【各加氢站加氢总量·2026年1-6月·测试环境】
环境,dev-oneos.lnh2e.com
期间,2026-01 ~ 2026-06
加氢总量合计kg,578983.151
站点数,61

排名,加氢站名称,站点编码,加氢总量kg,占比%,加氢车次
1,嘉兴滨海大道加油加气站,HS000076,205177,35.44,8113
2,嘉兴嘉锦亭桥北综合供能服务站,HS000002,158324.56,27.35,10963
3,嘉兴嘉燃经开站,HS000023,23564.91,4.07,2581
4,中国石化绿能加气加氢站,HS000032,20198.38,3.49,2648
5,昆山市中国石油昆山花桥加油站(花安路北50米),HS000010,17503.95,3.02,1748
6,成都天府机场高速北站,HS000007,15945.89,2.75,519
7,常熟嘉化氢能加氢站,HS000072,14792.38,2.55,2066
8,成都华通加氢站,HS000060,12093.51,2.09,493
9,中国石化站前路加气加氢站,HS000070,11074.18,1.91,1900
10,氢源嘉创东方氢港加氢站,HS000053,10236.3,1.77,574
11,成都天府机场高速南站,HS000008,9422.825,1.63,382
12,广州联新氢能东晖加氢站,HS000044,8441.96,1.46,1130
13,豪汇综合能源站,HS000052,7460.9,1.29,1159
14,乌鲁木齐市隆盛达环保科技有限公司沙坪加油加气加氢充电站,HS000022,7260.31,1.25,1062
15,佛山南海羚牛加氢站,HS000045,5501.1,0.95,834
16,佛山佛西加气站,HS000061,4840.727,0.84,755
17,东明三路综合能源站,HS000049,4485.986,0.77,562
18,诚志空气产品银河路加氢站,HS000085,3646.274,0.63,548
19,韶钢产业园加氢站,HS000075,3233.02,0.56,431
20,武汉革新大道加油站,HS000050,3037.58,0.52,169
21,成都博能燃气综合能源站,HS000020,2973.88,0.51,113
22,中国石化江南半山环道加能站,HS000014,2840.45,0.49,251
23,中国石化广州开泰北加油加氢站,HS000064,2770.346,0.48,391
24,硕放加氢站,HS000058,2750.07,0.47,291
25,广安弘正能源官盛综合能源站,HS000001,2147.84,0.37,66
26,重庆双溪加氢站,HS000003,1991.06,0.34,137
27,强劲荔村加氢站,HS000051,1625.88,0.28,197
28,中国石化江南西彭综合能源站,HS000006,1565.63,0.27,97
29,重庆元琨双宝氢能综合能源站,HS000046,1281.78,0.22,84
30,重庆龙洲湾氢能综合能源站,HS000019,1004.19,0.17,56
31,武汉中石化双龙站,HS000015,970.09,0.17,61
32,上海浦江加氢站,HS000068,913.73,0.16,99
33,丹灶海德利森加氢站,HS000035,893.51,0.15,113
34,神华加氢站,HS000036,877.689,0.15,132
35,国家电投宁波慈溪加氢站,HS000084,866.658,0.15,119
36,中国石化广州金坑加氢站,HS000065,812.721,0.14,130
37,绕城大道加气加氢加油站,HS000056,792.53,0.14,74
38,重庆丝路加氢站,HS000016,754.62,0.13,46
39,江南空港加气站,HS000013,633.3,0.11,43
40,九江城区城西港加油站,HS000107,599.53,0.1,29
41,东莞沙田大道综合能源服务站,HS000098,585.97,0.1,57
42,武汉雄众加氢站,HS000105,467.66,0.08,26
43,中国石化樟坑加油加氢站,HS000055,445.05,0.08,76
44,宁波镇海区中国石化加氢站,HS000057,260.18,0.04,43
45,武汉群力加油站,HS000106,259.5,0.04,16
46,中石化西上海发展站加油站,HS000069,246.478,0.04,14
47,东鹏大道甲醇制氢一体站,HS000116,220.32,0.04,35
48,皖能集团龙塘综合能源港(CNG、H2、充换电),HS000103,157.33,0.03,9
49,中国石化滨文路CNG加气站,HS000054,157.138,0.03,29
50,中石化青卫油氢混合站,HS000078,136.04,0.02,11
51,四川成渝新能建设有限公司渝蓉高速简阳服务区（重成向）氢能源分公司,HS000110,135.969,0.02,4
52,湖北楚天石化能源发展有限公司枝江西服务区（南站）加氢站,HS000115,129.57,0.02,7
53,上海临港平霄路油氢合建站,HS000021,128.55,0.02,17
54,永川高升加氢站,HS000009,90.32,0.02,3
55,涪陵长寿化中大道加能站,HS000012,54.12,0.01,4
56,南京溧水柘塘东站,HS000017,53.57,0.01,4
57,高管汉宜潜江服务北站,HS000011,51.76,0.01,4
58,江苏嘉化氢能港城加氢站,HS000077,44.02,0.01,5
59,上海嘉氢实业加氢站（江桥重塑）,HS000066,24.89,0.0,2
60,大兴国际氢能示范区海珀尔加氢站,HS000040,20.31,0.0,1
61,中国石化重庆石油分公司茶园加油加氢站,HS000111,7.16,0.0,1
