【刘念念·2026年租赁合同汇总·测试环境】
环境,dev-oneos.lnh2e.com
筛选,业务负责人=刘念念；创建时间年份=2026
合同总数,26
租赁车辆数,109
已交车辆数,64
交车完成率%,58.72

合同编码,项目名称,客户名称,业务部门,创建时间,生效日,结束日,租赁车辆数,已交车辆数,创建人
LNZLHT20260715001,上海昕海租赁18T*1,上海昕海供应链管理有限公司,业务二部,2026-07-15 14:38:36,2026-07-16 00:00:00,2027-07-15 00:00:00,1,1,翁倚云
LNZLHT 20260703001,嘉兴港区众通租赁4.5T*1,嘉兴港区众通快递有限公司,业务二部,2026-07-03 17:39:07,2026-07-05 00:00:00,2027-07-04 00:00:00,1,1,翁倚云
LNZLHT 20260527001,嘉兴京宝租赁苏龙18T*1,嘉兴市京宝物流有限公司,业务二部,2026-05-28 15:04:45,2026-06-01 00:00:00,2027-05-31 00:00:00,1,0,翁倚云
LNZLHT 20260413001,嘉兴智奇租赁现代18T*4,嘉兴智奇供应链管理有限公司,业务二部,2026-04-14 14:54:21,2026-04-15 00:00:00,2027-04-14 00:00:00,4,4,翁倚云
LNZLHT  20260528001,振鑫租赁4.5T*1,嘉兴市振鑫物流有限公司,业务二部,2026-05-28 14:25:42,2026-05-29 00:00:00,2027-05-28 00:00:00,1,1,翁倚云
LNZLHT 20260515001,嘉兴港区韵达租赁4.5T*1,嘉兴港区韵达快递有限公司,业务二部,2026-05-21 15:42:41,2026-05-22 00:00:00,2026-10-31 00:00:00,1,1,刘念念
LNZLHT 20260518001,嘉兴京宝租赁18T*10,嘉兴市京宝物流有限公司,业务二部,2026-05-18 14:13:46,2026-05-21 00:00:00,2027-05-20 00:00:00,10,5,刘念念
LNZLHT 20260510001,嘉兴市京宝租赁18T*3,嘉兴市京宝物流有限公司,业务二部,2026-05-10 10:48:36,2026-05-11 00:00:00,2027-05-10 00:00:00,3,3,刘念念
LNZLHT  20260429001,嘉兴琳曜租赁18T*2,嘉兴琳曜供应链管理有限公司,业务二部,2026-04-30 16:00:37,2026-05-01 00:00:00,2027-04-30 00:00:00,2,2,翁倚云
LNZLHT 20260425001,嘉兴市京宝租赁18T*4,嘉兴市京宝物流有限公司,业务二部,2026-04-25 17:46:48,2026-04-27 00:00:00,2027-04-26 00:00:00,4,4,翁倚云
LNZLHT 20260414001,上海利合租赁现代18T*1,上海利合供应链管理有限公司 (二部),业务二部,2026-04-14 14:57:07,2026-05-01 00:00:00,2027-04-30 00:00:00,1,1,翁倚云
LNZLHT 20260412001,京宝租赁苏龙18T*2,嘉兴市京宝物流有限公司,业务二部,2026-04-12 12:52:41,2026-04-15 00:00:00,2027-04-14 00:00:00,2,2,翁倚云
LNZLHT 20260401001,京宝租赁18T*1,嘉兴市京宝物流有限公司,业务二部,2026-03-30 23:36:05,2026-04-01 00:00:00,2027-03-31 00:00:00,1,1,翁倚云
LNZLHT 202600325002,嘉兴京宝租赁18T*1,嘉兴市京宝物流有限公司,业务二部,2026-03-26 23:41:27,2026-04-01 00:00:00,2027-03-31 00:00:00,1,1,翁倚云
LNZLHT 20260324001,嘉兴双瑜租赁4.5T*1,嘉兴市双瑜食品有限公司,业务二部,2026-03-24 13:06:14,2026-03-25 00:00:00,2027-03-24 00:00:00,1,1,翁倚云
LNZLHT20260112001,昆山毅通麦试用18T*3,昆山毅通麦物流科技有限公司,业务二部,2026-01-16 17:22:19,2026-01-16 00:00:00,2026-01-31 00:00:00,3,1,翁倚云
LNZLHT 202600312001,京宝租赁18T*2,嘉兴市京宝物流有限公司,业务二部,2026-03-12 13:23:25,2026-03-12 00:00:00,2027-03-11 00:00:00,2,2,翁倚云
LNZLHT 20260305001,嘉兴坤鑫租赁4.5T*2,嘉兴坤鑫物流有限公司,业务二部,2026-03-05 20:09:54,2026-03-06 00:00:00,2027-03-05 00:00:00,2,1,翁倚云
LNZLHT 20260305002,嘉兴吉时物流租赁4.5T*1,嘉兴吉时物流有限公司,业务二部,2026-03-05 20:11:48,2026-03-06 00:00:00,2027-03-05 00:00:00,1,1,翁倚云
LNZLHT 20260225001,苏州望亭租赁现代18T*1,苏州望亭远方物流有限公司,业务二部,2026-02-27 11:15:10,2026-03-01 00:00:00,2026-09-30 00:00:00,1,1,翁倚云
LNZLHT 20260227001,京宝租赁苏龙18T*5,嘉兴市京宝物流有限公司,业务二部,2026-02-27 12:07:04,2026-03-01 00:00:00,2027-02-28 00:00:00,5,5,翁倚云
LNZLHT 20260203002,昆山毅通麦租赁18T*20,昆山毅通麦物流科技有限公司,业务二部,2026-02-06 17:18:22,2026-02-01 00:00:00,2027-01-31 00:00:00,20,1,翁倚云
LNZLHT20260202001,古道临时租赁49T*1,嘉兴古道物流有限公司,业务二部,2026-02-02 10:55:06,2026-02-02 00:00:00,2026-02-05 00:00:00,1,1,翁倚云
LNZLHT 20260104001,桐乡韵达租赁4.5T*10,桐乡市丰韵快递有限责任公司,业务二部,2026-01-07 13:51:25,2026-01-10 00:00:00,2027-01-09 00:00:00,10,2,翁倚云
LNZLHT 20260104002,桐乡韵达租赁18T*10,桐乡市丰韵快递有限责任公司,业务二部,2026-01-07 13:56:07,2026-01-10 00:00:00,2027-01-09 00:00:00,10,1,翁倚云
20260105,嘉兴智奇18T自运营,嘉兴智奇供应链管理有限公司,业务二部,2026-01-05 15:49:37,2026-01-01 00:00:00,2027-01-01 00:00:00,20,20,翁倚云
