【车辆管理·品牌型号与保险异常】
来源,https://lnoneos.com/operations/vehicle
台账车辆总数,1024
品牌数,16
品牌×型号组合数,21
保险状态异常车辆数,266

【保险状态分布】
保险状态,车辆数
正常,722
临期,36
异常,266

【按品牌】
品牌,车型数,车辆数
现代,3,512
苏龙,1,197
飞驰,2,196
宇通,1,49
跃进,1,36
楚风,2,13
通华,1,7
其他,2,3
腾势,1,2
舒捷,1,2
明威,1,2
红岩,1,1
万风,1,1
东风,1,1
远程牌,1,1
鲁郸万通牌,1,1

【按品牌×型号】
品牌,型号,车辆数,其中保险异常
现代,帕力安牌4.5吨冷链车,326,25
苏龙,海格牌18吨双飞翼货车,197,69
飞驰,49吨牵引车头,166,71
现代,帕力安牌18吨双飞翼货车,100,3
现代,4.5吨货车,86,15
宇通,49吨牵引车头,49,15
跃进,4.5吨冷链车,36,33
飞驰,18吨厢式货车,30,12
楚风,18吨厢式货车,10,9
通华,重型集装箱半挂车,7,7
楚风,49吨牵引车头,3,0
明威,重型集装箱半挂车,2,2
其他,公务用车/小客车,2,0
舒捷,SJ型蓄电池观光车,2,2
腾势,公务用车/小客车,2,0
东风,挂靠油车,1,0
红岩,35吨牵引车头,1,0
鲁郸万通牌,重型集装箱半挂车,1,1
其他,氢能叉车,1,1
万风,重型平板半挂车,1,1
远程牌,公务用车/小客车,1,0
